file,protagonist,legacyReversals,detectedReversals,reversalDisagree,d1Disagree,d2Disagree,qlDeduction
beavis-and-butt-head-do-america-matched.fountain,BUTT-HEAD,0,0,false,false,false,0
crawl/sci-fi/new-york-minute-pdf.fountain,DREW,0,0,false,false,false,0
crawl/crime/the-shipping-news.fountain,QUOYLE,0,0,false,false,false,0
crawl/drama/get-him-to-the-greek-pdf.fountain,AARON,0,0,false,false,false,0
coco-matched.fountain,MIGUEL,0,0,false,false,false,0
crawl/action/blade-trinity.fountain,KING,0,0,false,false,false,0.8620689655172409
crawl/action/smokin-aces.fountain,MESSNER,0,0,false,false,false,0
crawl/action/x-men.fountain,LOGAN,0,0,false,false,false,0
crawl/sci-fi/the-comedian-pdf.fountain,JACKIE,0,0,false,false,false,0
crawl/sci-fi/jackie-pdf.fountain,JACKIE,0,0,false,false,false,0.5813953488372092
crawl/crime/body-of-evidence.fountain,DULANEY,0,0,false,false,false,0
crawl/sci-fi/the-hurt-locker-pdf.fountain,JAMES,0,0,false,false,false,0
crawl/action/surrogates-html.fountain,GREER,0,0,false,false,false,0
crawl/sci-fi/queen-of-the-damned-pdf.fountain,LESTAT,0,0,false,false,false,1.4864864864864868
crawl/action/metro.fountain,ROPER,0,0,false,false,false,0
Croods_The.fountain.txt,GRUG,0,0,false,false,false,0
crawl/animation/kung-fu-panda-html.fountain,PO,0,0,false,false,false,0
South_Park_The_Movie.fountain.txt,KYLE,0,0,false,false,false,0
crawl/drama/thelma-louise.fountain,THELMA,0,0,false,false,false,0
crawl/crime/gang-related.fountain,DIVINCI,0,0,false,false,false,0
crawl/comedy/the-blast-from-the-past.fountain,ADAM,0,0,false,false,false,0
crawl/crime/croupier.fountain,JACK,0,0,false,false,false,0
crawl/adventure/two-for-the-money-html.fountain,BRANDON,0,0,false,false,false,0
crawl/sci-fi/out-of-sight-pdf.fountain,FOLEY,0,0,false,false,false,0
crawl/comedy/bruce-almighty.fountain,BRUCE,0,0,false,false,false,0
